blueADCChamp,blueJungleChamp,blueMiddleChamp,blueSupportChamp,blueTopChamp,redADCChamp,redJungleChamp,redMiddleChamp,redSupportChamp,redTopChamp,blueBan1,redBan1,blueBan2,redBan2,blueBan3,redBan3,blueBan4,redBan4,blueBan5,redBan5,rResult
Ezreal,Pantheon,Ryze,Leona,Zaahen,Sivir,Lee Sin,Orianna,Bard,K'Sante,Akali,Rumble,Varus,Poppy,Azir,Wukong,Gwen,Karma,Kennen,Kalista,1
Corki,Dr. Mundo,Orianna,Nami,Zaahen,Yunara,Naafiri,Viktor,Karma,Sion,Caitlyn,Jarvan IV,Gwen,Ambessa,Galio,Varus,Nautilus,Aphelios,Blitzcrank,Smolder,0
Varus,Vi,Taliyah,Leona,Ornn,Jhin,Sejuani,Syndra,Rell,Renekton,Cassiopeia,Caitlyn,Jarvan IV,Qiyana,Ambessa,Trundle,Sylas,K'Sante,Akali,Gnar,1
Ezreal,Lillia,Jayce,Alistar,Gwen,Lucian,Wukong,Mel,Milio,Gragas,Cassiopeia,Caitlyn,Jarvan IV,Ryze,Ambessa,Galio,Akali,Nautilus,Sylas,Blitzcrank,1
Kai'Sa,Ambessa,Aurora,Rell,Gwen,Yunara,Vi,Taliyah,Nautilus,Kennen,Zoe,Rumble,Orianna,Varus,Ahri,Galio,Lulu,Neeko,Braum,Naafiri,1
Ashe,Wukong,Twisted Fate,Seraphine,Jax,Zeri,Lee Sin,LeBlanc,Yuumi,Aurora,Orianna,Akali,Rumble,Neeko,Pantheon,Nocturne,Malphite,Sylas,Yone,Mel,1
Corki,Qiyana,Syndra,Nami,Ambessa,Lucian,Xin Zhao,Taliyah,Milio,Gwen,Vi,Ryze,Akali,Orianna,Nocturne,Rumble,Twisted Fate,Galio,Yasuo,Yone,1
Varus,Naafiri,Orianna,Alistar,Zaahen,Kai'Sa,Lee Sin,Akali,Bard,Gnar,Ryze,Rumble,Nocturne,Vi,Azir,Poppy,Ezreal,Renata Glasc,Sivir,Karma,1
Lucian,Naafiri,Galio,Milio,Jax,Kai'Sa,Vi,Yone,Neeko,Renekton,Rumble,Pantheon,Orianna,Varus,Ryze,Anivia,Taliyah,Akali,Azir,Kennen,1
Varus,Xin Zhao,Azir,Nautilus,Yorick,Zeri,Trundle,Taliyah,Rakan,Kennen,Qiyana,Rumble,Gwen,Akali,Miss Fortune,Sion,Wukong,Dr. Mundo,Malphite,Sylas,1
Ashe,Aatrox,Syndra,Seraphine,Jayce,Miss Fortune,Dr. Mundo,Mel,Blitzcrank,Gwen,Qiyana,Rumble,Wukong,Akali,Sylas,Twisted Fate,Pyke,Viktor,Rell,Malphite,1
Lucian,Vi,Ryze,Nami,Gwen,Varus,Jarvan IV,Azir,Bard,Rumble,Poppy,Orianna,Yunara,Ambessa,Pantheon,Neeko,Taliyah,Sivir,Karma,Nautilus,0
Aphelios,Xin Zhao,Galio,Thresh,Gnar,Ashe,Wukong,Akali,Seraphine,Jayce,Poppy,Orianna,Yunara,Ambessa,Pantheon,Nocturne,Ahri,Sylas,Aurora,Taliyah,0
Sivir,Nocturne,Ahri,Karma,Zaahen,Zeri,Pantheon,Cassiopeia,Lulu,K'Sante,Orianna,Neeko,Yunara,Taliyah,Aurora,Ambessa,Kalista,Rakan,Caitlyn,Alistar,0
Varus,Vi,Ahri,Nautilus,Gwen,Sivir,Xin Zhao,Ryze,Rell,Renekton,Orianna,Akali,Rumble,Jarvan IV,Pantheon,Neeko,Poppy,Alistar,Bard,Volibear,0
Corki,Naafiri,Galio,Alistar,Ambessa,Lucian,Jarvan IV,Azir,Nami,Sion,Orianna,Akali,Rumble,Neeko,Pantheon,Aurora,Taliyah,LeBlanc,Zaahen,Sylas,0
Yunara,Jarvan IV,Aurora,Neeko,Renekton,Aphelios,Pantheon,Ahri,Lulu,K'Sante,Rumble,Nocturne,Orianna,Ryze,Vi,Ambessa,Azir,Gnar,Taliyah,Gwen,0
Aphelios,Dr. Mundo,Zoe,Lulu,Yorick,Yunara,Pantheon,Syndra,Neeko,Gnar,Akali,Rumble,Orianna,Karma,Kai'Sa,Nocturne,Taliyah,Kennen,Mel,Cassiopeia,0
Ezreal,Trundle,Sylas,Blitzcrank,Zaahen,Miss Fortune,Nocturne,Taliyah,Rakan,Olaf,Orianna,Karma,Kai'Sa,Rumble,Akali,Yone,Xayah,Bard,Kennen,Leona,1
Ziggs,Nocturne,Azir,Rell,Jax,Kalista,Vi,LeBlanc,Renata Glasc,Gragas,Karma,Rumble,Yone,Ryze,Wukong,Ashe,Kennen,Leona,Sion,Poppy,1
Zeri,Sejuani,Yone,Yuumi,Mordekaiser,Ezreal,Wukong,Diana,Karma,Yorick,Ryze,Rumble,Malphite,Sivir,Nautilus,Yasuo,Mel,Dr. Mundo,Sylas,Maokai,0
Kai'Sa,Vi,Akali,Rell,Gnar,Kalista,Xin Zhao,Taliyah,Renata Glasc,Renekton,Azir,Neeko,Rumble,Malphite,Orianna,Poppy,Lucian,Lulu,Leona,Ziggs,0
Kai'Sa,Qiyana,Taliyah,Alistar,Renekton,Lucian,Jarvan IV,Ryze,Braum,Volibear,Rumble,Poppy,Jayce,Vi,Malphite,Ambessa,Bard,Neeko,Varus,Ezreal,0
Lucian,Dr. Mundo,Ryze,Nami,Gnar,Aphelios,Wukong,Taliyah,Lulu,Yasuo,Poppy,Orianna,Malphite,Jayce,Varus,Neeko,Pantheon,Qiyana,Sion,Ambessa,1
Varus,Jarvan IV,Anivia,Alistar,Zaahen,Ezreal,Nocturne,Ryze,Leona,Sion,Orianna,Poppy,Azir,Malphite,Rumble,Jayce,Vi,Gnar,Bard,Gwen,0
Varus,Jarvan IV,Ryze,Alistar,Ambessa,Jhin,Jayce,Cassiopeia,Nautilus,Sion,Rumble,Neeko,Azir,Malphite,Orianna,Vi,Poppy,Bard,Ezreal,Leona,0
Aphelios,Trundle,Azir,Lulu,Sion,Yunara,Xin Zhao,Orianna,Nautilus,K'Sante,Poppy,Jayce,Vi,Malphite,Ambessa,Rumble,Varus,Bard,Neeko,Karma,1
Yunara,Vi,Akali,Nautilus,K'Sante,Jhin,Jarvan IV,Azir,Alistar,Rumble,Orianna,Poppy,Jayce,Malphite,Neeko,Varus,Bard,Kai'Sa,Aphelios,Lulu,0
Yunara,Wukong,Taliyah,Lulu,Renekton,Jhin,Xin Zhao,Syndra,Neeko,Ambessa,Orianna,Poppy,Azir,Malphite,Rumble,Jayce,Ryze,Jarvan IV,Galio,Vi,0
Aphelios,Xin Zhao,Azir,Thresh,K'Sante,Ashe,Jarvan IV,Taliyah,Alistar,Yorick,Poppy,Orianna,Malphite,Rumble,Gnar,Sion,Ambessa,Lulu,Varus,Nautilus,1
Kai'Sa,Vi,Aurora,Leona,Sion,Yunara,Wukong,Ahri,Rakan,Gwen,Orianna,Poppy,Rumble,Malphite,Ryze,Neeko,Lulu,Varus,Renekton,Ambessa,0
Sivir,Pantheon,LeBlanc,Bard,Rumble,Jhin,Nocturne,Orianna,Elise,K'Sante,Azir,Qiyana,Jayce,Malphite,Vi,Akali,Rakan,Lucian,Nautilus,Kalista,0
Caitlyn,Xin Zhao,Viktor,Karma,Kled,Corki,Wukong,Syndra,Leona,Sion,Ambessa,Jayce,Akali,Aatrox,Darius,K'Sante,Nautilus,Zyra,Orianna,Azir,1
Lucian,Jarvan IV,Taliyah,Braum,K'Sante,Tristana,Naafiri,Ryze,Lulu,Zaahen,Aatrox,Ambessa,Azir,Jayce,Orianna,Neeko,Ezreal,Nautilus,Yunara,Xayah,0
Aphelios,Poppy,Ryze,Neeko,Renekton,Corki,Wukong,Anivia,Nautilus,Sion,Malphite,Ambessa,Rumble,Orianna,Jayce,Jarvan IV,K'Sante,Caitlyn,Braum,Ezreal,0
Ezreal,Xin Zhao,Ryze,Leona,Rumble,Yunara,Jarvan IV,Cassiopeia,Rell,K'Sante,Neeko,Orianna,Vi,Azir,Poppy,Jayce,Alistar,Aphelios,Lulu,Varus,0
Yunara,Vi,Taliyah,Nautilus,K'Sante,Aphelios,Xin Zhao,Ryze,Poppy,Ambessa,Neeko,Orianna,Malphite,Rumble,Jayce,Azir,Varus,Renekton,Bard,Lulu,1
Jhin,Nocturne,Syndra,Nautilus,Zaahen,Varus,Ambessa,Orianna,Alistar,Sion,Jayce,Poppy,Vi,Malphite,Neeko,Akali,Wukong,Bard,Dr. Mundo,Rakan,1
Kai'Sa,Wukong,Ahri,Rakan,Zaahen,Aphelios,Vi,Taliyah,Thresh,K'Sante,Orianna,Poppy,Rumble,Neeko,Jayce,Syndra,Lulu,Bard,Leona,Ezreal,1
Ashe,Jayce,Syndra,Alistar,Sejuani,Jhin,Qiyana,Viktor,Bard,Yorick,Neeko,Rumble,Malphite,Azir,Jarvan IV,Sion,Ezreal,Miss Fortune,Gnar,Kai'Sa,1
Yunara,Xin Zhao,Orianna,Alistar,Kennen,Corki,Pantheon,Azir,Nami,Renekton,Rumble,Neeko,Jayce,Malphite,Poppy,Varus,K'Sante,Lulu,Sion,Bard,1
Ezreal,Wukong,Ryze,Leona,Ambessa,Jhin,Jarvan IV,Cassiopeia,Bard,Sion,Neeko,Rumble,Sylas,Jayce,Vi,Malphite,Varus,Nautilus,Sivir,Rakan,0
Smolder,Malphite,Cassiopeia,Alistar,Renekton,Yunara,Dr. Mundo,Ryze,Lulu,K'Sante,Neeko,Jarvan IV,Akali,Orianna,Sylas,Azir,Xayah,Aphelios,Sivir,Varus,1
Aphelios,Aatrox,Akali,Milio,Zaahen,Lucian,Sejuani,Kassadin,Braum,Sion,Jarvan IV,Neeko,Poppy,Ambessa,Wukong,Jayce,Jax,Karma,Syndra,Rakan,1
Yunara,Ambessa,Ryze,Lulu,K'Sante,Corki,Wukong,Taliyah,Nami,Rumble,Azir,Qiyana,Orianna,Jayce,Neeko,Cassiopeia,Varus,Jarvan IV,Jhin,Nautilus,0
Varus,Xin Zhao,Ekko,Rakan,Gwen,Ashe,Jarvan IV,Syndra,Braum,Sion,Orianna,Qiyana,Azir,Jayce,Akali,LeBlanc,Ezreal,Bard,Sivir,Neeko,0
Ziggs,Wukong,Aurora,Rakan,Gnar,Aphelios,Xin Zhao,Sylas,Lulu,K'Sante,Malphite,Jayce,Orianna,Azir,Yunara,Varus,Galio,Yone,Sion,Gwen,1
Xayah,Pantheon,Azir,Rakan,Renekton,Ezreal,Vi,Taliyah,Leona,Gnar,Neeko,Jayce,Malphite,Rumble,Gwen,Sion,Poppy,Bard,Yunara,Lucian,0
Ezreal,Vi,Taliyah,Alistar,K'Sante,Varus,Xin Zhao,Yone,Rakan,Rumble,Jayce,Neeko,Azir,Malphite,Ambessa,Orianna,Bard,Sivir,Poppy,Ziggs,1
Varus,Jayce,Zoe,Bard,Sion,Jhin,Ambessa,Galio,Alistar,Rumble,Ryze,Orianna,Poppy,Malphite,Jarvan IV,Taliyah,Leona,Karma,Yone,Sylas,0
Aphelios,Aatrox,Azir,Lulu,Sion,Corki,Pantheon,Orianna,Neeko,Zaahen,Rumble,Ambessa,Jayce,Malphite,Varus,Yunara,Gwen,Xin Zhao,Miss Fortune,Jarvan IV,1
Yunara,Jarvan IV,Taliyah,Nautilus,Gwen,Varus,Xin Zhao,Ryze,Braum,Ambessa,Jayce,Malphite,Rumble,Vi,Yone,Poppy,Rakan,Alistar,Rell,Renekton,0
Lucian,Vi,Syndra,Braum,Gragas,Kalista,Jarvan IV,Aurora,Renata Glasc,Gwen,Malphite,Jayce,Pantheon,Rumble,Wukong,Akali,Xayah,K'Sante,Zeri,Kennen,1
Corki,Xin Zhao,Ahri,Leona,Ambessa,Varus,Qiyana,Taliyah,Alistar,Rumble,Ryze,Vi,Orianna,Malphite,Jayce,Jarvan IV,Neeko,Akali,Bard,Rakan,1
Miss Fortune,Wukong,Ryze,Rell,Sion,Aphelios,Xin Zhao,Taliyah,Lulu,Gwen,Poppy,Rumble,Malphite,Jayce,Neeko,Pantheon,Gnar,Akali,Yorick,Ahri,1
Corki,Wukong,Ahri,Pantheon,Rumble,Yunara,Malphite,Taliyah,Alistar,K'Sante,Jayce,Neeko,Azir,Vi,Orianna,Sylas,Ambessa,Rakan,Nautilus,Aphelios,0
Ashe,Dr. Mundo,Viktor,Soraka,Sion,Lucian,Sylas,Ryze,Braum,Renekton,Jayce,Neeko,Azir,Vi,Orianna,Cassiopeia,Jarvan IV,Renata Glasc,Nocturne,Lulu,1
Aphelios,Jarvan IV,Zoe,Thresh,Rek'Sai,Ziggs,Nocturne,Aurora,Rell,Ambessa,Vi,Poppy,Neeko,Jayce,Orianna,Azir,Nautilus,Akali,Leona,Mel,0
Ezreal,Jarvan IV,Ryze,Karma,Ambessa,Yunara,Xin Zhao,Taliyah,Neeko,Rek'Sai,Azir,Qiyana,Jayce,Malphite,Orianna,Rumble,Renekton,Bard,Kai'Sa,Lucian,0
Ezreal,Xin Zhao,Orianna,Rell,Zaahen,Kai'Sa,Vi,Akali,Rakan,Malphite,Jarvan IV,Jayce,Ambessa,Rumble,Ziggs,K'Sante,Gnar,Braum,Jax,Karma,1
Varus,Dr. Mundo,Azir,Alistar,Ambessa,Yunara,Malphite,Akali,Nautilus,Aatrox,Rumble,Jayce,Orianna,Neeko,Poppy,Sylas,Renekton,Lulu,Yorick,Kai'Sa,0
Sivir,Pantheon,Orianna,Leona,Renekton,Varus,Wukong,Diana,Rell,Gwen,Akali,Rumble,Malphite,Jayce,Jarvan IV,Neeko,Rakan,Bard,Kai'Sa,Alistar,1
Kai'Sa,Malphite,Taliyah,Rakan,Jax,Zeri,Wukong,Twisted Fate,Lulu,Yorick,Azir,Neeko,Aphelios,Pantheon,Akali,Vi,Sylas,Gnar,Renekton,Blitzcrank,0
Aphelios,Malphite,Taliyah,Karma,Sion,Yunara,Nautilus,Ahri,Lulu,Rek'Sai,Vi,Rumble,Azir,Orianna,Sylas,Jayce,Ambessa,Alistar,Dr. Mundo,Neeko,1
Ezreal,Pantheon,Sylas,Neeko,Kennen,Varus,Wukong,Orianna,Alistar,Renekton,Rumble,Vi,Jayce,Azir,Jarvan IV,Ambessa,Nocturne,LeBlanc,Xin Zhao,Gnar,0
Tristana,Lee Sin,LeBlanc,Lulu,Ornn,Aphelios,Poppy,Azir,Tahm Kench,Gragas,Jayce,Gwen,Dr. Mundo,Jarvan IV,Malphite,Orianna,Thresh,Nautilus,Milio,K'Sante,1
Corki,Sejuani,Ryze,Nautilus,Renekton,Yunara,Diana,Syndra,Leona,Zaahen,Gwen,Jayce,Jarvan IV,Dr. Mundo,K'Sante,Orianna,Kog'Maw,Caitlyn,Vayne,Braum,0
Varus,Jarvan IV,Ryze,Leona,Ambessa,Ezreal,Jayce,Taliyah,Karma,K'Sante,Rumble,Vi,Orianna,Malphite,Azir,Nautilus,Galio,Pyke,Sion,Gnar,0
Sivir,Pantheon,Taliyah,Alistar,Yorick,Aphelios,Vi,Ahri,Nautilus,Ambessa,Rumble,Poppy,Orianna,Jarvan IV,Akali,Malphite,Jhin,Varus,Yunara,Renekton,1
Corki,Vi,Ahri,Rakan,Gnar,Yunara,Qiyana,Galio,Bard,Yorick,Azir,Neeko,Orianna,Malphite,Rumble,Aphelios,Poppy,Nautilus,Lulu,Alistar,0
Yunara,Jayce,Anivia,Rell,K'Sante,Smolder,Dr. Mundo,Ryze,Leona,Rumble,Orianna,Poppy,Jarvan IV,Azir,Aurora,Sylas,Nocturne,Braum,Kai'Sa,Lulu,0
Lucian,Pantheon,Ryze,Milio,Ambessa,Corki,Vi,Taliyah,Alistar,Rumble,Jayce,Malphite,Azir,Orianna,Varus,Yunara,Rell,Bard,Nautilus,Aphelios,1
Sivir,Nocturne,Orianna,Bard,Akali,Jhin,Jarvan IV,Azir,Nautilus,Rek'Sai,Jayce,Malphite,Varus,Poppy,Rell,Yunara,Renata Glasc,Ezreal,Ashe,Gwen,0
Yunara,Xin Zhao,Galio,Lulu,Aatrox,Varus,Trundle,Ryze,Nautilus,Ambessa,Rumble,Neeko,Orianna,Jarvan IV,Jayce,Malphite,Corki,Cassiopeia,Aphelios,Syndra,1
Lucian,Poppy,Syndra,Braum,Sion,Kai'Sa,Wukong,Orianna,Alistar,Rek'Sai,Jayce,Malphite,Rumble,Jarvan IV,Neeko,Gwen,Kalista,Akali,Aphelios,LeBlanc,1
Yunara,Ambessa,Anivia,Rell,Sion,Ziggs,Wukong,Ryze,Nautilus,Renekton,Azir,Neeko,Orianna,Jayce,Malphite,Cassiopeia,Aphelios,Lulu,Corki,Poppy,0
Varus,Qiyana,Ryze,Bard,Ambessa,Sivir,Jarvan IV,Cassiopeia,Rell,Rumble,Jayce,Neeko,Malphite,Sylas,Orianna,Akali,Alistar,Ezreal,Rakan,Yunara,0
Kai'Sa,Lee Sin,Orianna,Rakan,Rumble,Yunara,Jayce,Viktor,Alistar,K'Sante,Varus,Malphite,Ambessa,Qiyana,Poppy,Renekton,Bard,Corki,Syndra,Aphelios,1
Ezreal,Vi,Taliyah,Leona,Rumble,Miss Fortune,Jarvan IV,Ryze,Rakan,Ambessa,Neeko,Jayce,Akali,Orianna,Sylas,Malphite,Varus,Alistar,Bard,Poppy,0
Yunara,Wukong,Ryze,Bard,K'Sante,Varus,Ambessa,Syndra,Alistar,Zaahen,Jayce,Malphite,Rumble,Neeko,Gwen,Renekton,Orianna,Ezreal,Cassiopeia,Sivir,1
Aphelios,Nocturne,Azir,Thresh,Zaahen,Yunara,Xin Zhao,Orianna,Bard,Jax,Jayce,Malphite,Varus,Pantheon,Jarvan IV,Rumble,Renekton,Lulu,Rek'Sai,Ambessa,0
Kai'Sa,Sylas,Ryze,Neeko,Gnar,Corki,Ambessa,Taliyah,Alistar,Renekton,Varus,Rumble,Malphite,Jayce,Vi,Pantheon,Nami,Jarvan IV,Karma,Wukong,1
Yunara,Wukong,Orianna,Leona,Aatrox,Aphelios,Jarvan IV,Azir,Alistar,Ambessa,Neeko,Varus,Akali,Jayce,Malphite,Rumble,Thresh,Renekton,Xin Zhao,K'Sante,1
Ezreal,Xin Zhao,Orianna,Leona,Zaahen,Varus,Wukong,Akali,Rakan,Jax,Jayce,Malphite,Rumble,Neeko,Ambessa,Renekton,Gwen,Poppy,Gnar,Karma,1
Sivir,Jarvan IV,Syndra,Rell,Sion,Varus,Jayce,Ryze,Neeko,Poppy,Orianna,Qiyana,Rumble,Ambessa,Renekton,Malphite,Zaahen,Bard,K'Sante,Karma,0
Ezreal,Pantheon,Taliyah,Rell,Renekton,Varus,Wukong,Aurora,Rakan,Gnar,Jayce,Zaahen,Rumble,Jarvan IV,Ambessa,Malphite,Akali,Alistar,Orianna,Nautilus,1
Varus,Jarvan IV,Azir,Leona,Ambessa,Yunara,Vi,Orianna,Nautilus,K'Sante,Rumble,Akali,Jayce,Malphite,Pantheon,Poppy,Sivir,Renata Glasc,Corki,Braum,0
Zeri,Trundle,Akali,Yuumi,Rumble,Sivir,Zac,Galio,Alistar,Aatrox,Neeko,Jayce,Malphite,Kennen,Pantheon,Dr. Mundo,LeBlanc,Poppy,Qiyana,Lucian,0
Varus,Dr. Mundo,Ahri,Neeko,Gnar,Corki,Nocturne,Aurora,LeBlanc,Yorick,Vi,Rumble,Malphite,Orianna,Bard,Ryze,Nami,Wukong,Sylas,Qiyana,0
Yunara,Malphite,Sylas,Rakan,K'Sante,Corki,Dr. Mundo,Orianna,Rell,Aatrox,Rumble,Neeko,Jayce,Akali,Qiyana,Poppy,Gnar,Alistar,Renekton,Lulu,0
Kai'Sa,Vi,Taliyah,Neeko,K'Sante,Lucian,Xin Zhao,Sylas,Bard,Sion,Poppy,Orianna,Malphite,Jayce,Varus,Rumble,Azir,Ambessa,Yunara,Gwen,0
Sivir,Jarvan IV,Ryze,Bard,K'Sante,Ezreal,Pantheon,Taliyah,Neeko,Rumble,Orianna,Malphite,Azir,Yunara,Jayce,Vi,Nautilus,Lucian,Varus,Karma,0
Lucian,Vi,Twisted Fate,Nami,Zaahen,Kalista,Jayce,Akali,Renata Glasc,Gnar,Orianna,Malphite,Azir,Poppy,Lulu,Sion,Xin Zhao,Ahri,Wukong,LeBlanc,0
Yunara,Xin Zhao,Azir,Alistar,Rek'Sai,Corki,Nocturne,Orianna,Braum,Renekton,Jayce,Malphite,Ambessa,Neeko,Bard,Rumble,Poppy,Gnar,Rakan,K'Sante,1
Sivir,Pantheon,Taliyah,Leona,Gnar,Aphelios,Lee Sin,Ryze,Neeko,Kennen,Malphite,Jayce,Vi,Ambessa,K'Sante,Rumble,Jarvan IV,Bard,Wukong,Nautilus,1
Kalista,Jayce,Zoe,Renata Glasc,K'Sante,Lucian,Jarvan IV,Aurora,Nami,Gwen,Malphite,Rumble,Bard,Varus,Ambessa,Vi,Miss Fortune,Nautilus,Ashe,Rell,0
Yunara,Xin Zhao,Orianna,Nautilus,Kennen,Aphelios,Jarvan IV,Taliyah,Tahm Kench,Renekton,Riven,Rumble,Malphite,Ryze,Azir,Jayce,Dr. Mundo,Neeko,Braum,Wukong,0
Kai'Sa,Naafiri,Taliyah,Rell,Renekton,Varus,Jarvan IV,Orianna,Leona,Malphite,Azir,Jayce,Kassadin,Akali,Sion,Darius,Caitlyn,Xayah,Corki,Neeko,0
Varus,Xin Zhao,Azir,Rakan,K'Sante,Jhin,Jarvan IV,Syndra,Alistar,Vayne,Malphite,Rumble,Vi,Jayce,Orianna,Neeko,Nautilus,Poppy,Gnar,Bard,1
Aphelios,Pantheon,Taliyah,Thresh,K'Sante,Jhin,Jarvan IV,Ryze,Alistar,Rumble,Orianna,Malphite,Azir,Vi,Varus,Jayce,Bard,Nautilus,Neeko,Yunara,0
Corki,Nocturne,Galio,Neeko,Rek'Sai,Kai'Sa,Ambessa,Akali,Nautilus,Zaahen,Malphite,Orianna,Jayce,Azir,Yunara,Vi,Gnar,Aurora,Gwen,Renekton,0
Sivir,Jarvan IV,Taliyah,Alistar,Ambessa,Ezreal,Jayce,Azir,Karma,K'Sante,Rumble,Vi,Orianna,Malphite,Yunara,Varus,Sion,Nautilus,Bard,Gnar,1
Varus,Vi,Taliyah,Nautilus,Ambessa,Ezreal,Jarvan IV,Syndra,Leona,Sion,Rumble,Neeko,Orianna,Poppy,Malphite,Sylas,Akali,Rakan,Bard,Alistar,1
Yunara,Ambessa,Orianna,Lulu,Ornn,Aphelios,Wukong,Azir,Blitzcrank,Rumble,Jayce,Poppy,Nocturne,Malphite,Akali,Varus,Thresh,Nautilus,Pantheon,Alistar,0
Yunara,Xin Zhao,Diana,Alistar,Yasuo,Corki,Nocturne,Orianna,Bard,Gnar,Varus,Malphite,Vi,Jayce,Jarvan IV,Rumble,Neeko,Lulu,Poppy,Ambessa,1
Kai'Sa,Pantheon,Aurora,Neeko,Rek'Sai,Aphelios,Vi,Taliyah,Lulu,K'Sante,Azir,Varus,Rumble,Malphite,Jayce,Jarvan IV,Nautilus,Akali,Rell,Ahri,0
Varus,Qiyana,Zoe,Nautilus,Gwen,Yunara,Nocturne,Aurora,Leona,Ambessa,Orianna,Malphite,Azir,Vi,Jayce,Renekton,Braum,Ahri,Alistar,LeBlanc,1
Kai'Sa,Ambessa,Akali,Rell,Gragas,Corki,Malphite,Vex,Rakan,Zaahen,Rumble,Riven,Neeko,Ryze,Jayce,Azir,Syndra,Sylas,Alistar,Ahri,1
Yunara,Aatrox,Azir,Alistar,Akali,Varus,Nocturne,Orianna,Leona,Gnar,Jayce,Malphite,Rumble,Vi,Pantheon,Jarvan IV,Bard,Neeko,Poppy,Lulu,1
Corki,Qiyana,Taliyah,Nautilus,K'Sante,Lucian,Jarvan IV,Ryze,Braum,Renekton,Rumble,Neeko,Jayce,Malphite,Ambessa,Vi,Ezreal,Pantheon,Aphelios,Wukong,0
Kai'Sa,Malphite,Taliyah,Rell,Sion,Yunara,Trundle,Ryze,Braum,Gwen,Vi,Rumble,Ambessa,Orianna,Jayce,Poppy,Lulu,Aphelios,Dr. Mundo,Corki,1
Jinx,Pantheon,Orianna,Thresh,Zaahen,Aphelios,Nocturne,Akali,Milio,Gangplank,Vi,Rumble,Ambessa,Jayce,Nautilus,Neeko,Lulu,Qiyana,Kennen,Wukong,1
Varus,Wukong,Ahri,Leona,Kennen,Sivir,Xin Zhao,Aurora,Rakan,Yorick,Malphite,Orianna,Jayce,Vi,Yunara,Azir,Poppy,Gnar,Rell,Sion,1
Varus,Jarvan IV,Azir,Rakan,Gnar,Jhin,Nocturne,Orianna,Pantheon,Renekton,Jayce,Malphite,Rumble,Ambessa,Poppy,Aurora,Bard,Alistar,Neeko,Nautilus,0
Yunara,Aatrox,Aurora,Poppy,Zaahen,Corki,Xin Zhao,Taliyah,Elise,Ambessa,Jayce,Malphite,Rumble,Aphelios,Vi,Ryze,Nautilus,Lulu,Neeko,Alistar,1
Lucian,Wukong,Ryze,Braum,K'Sante,Sivir,Vi,Akali,Alistar,Gwen,Rumble,Malphite,Jayce,Neeko,Aphelios,Cassiopeia,Anivia,Trundle,Galio,Kennen,1
Corki,Jarvan IV,Azir,Nami,Renekton,Yunara,Pantheon,Akali,Lulu,K'Sante,Neeko,Jayce,Malphite,Rumble,Varus,Xin Zhao,Taliyah,Nautilus,Sion,Gwen,0
Jhin,Xin Zhao,Ryze,Rakan,Gwen,Ezreal,Qiyana,Orianna,Leona,Ambessa,Rumble,Malphite,Jayce,Varus,Neeko,Vi,Jax,Lucian,Aurora,Poppy,0
Kai'Sa,Pantheon,Ryze,Nautilus,Sion,Corki,Jarvan IV,Azir,Braum,Rumble,Ambessa,Jayce,Akali,K'Sante,Malphite,Poppy,Varus,Ezreal,Yunara,Alistar,1
Yunara,Trundle,Taliyah,Rell,Renekton,Varus,Xin Zhao,Galio,Alistar,Olaf,Sylas,Orianna,K'Sante,Jayce,Dr. Mundo,Malphite,Darius,Vi,Jax,Ambessa,0
Sivir,Lee Sin,Ryze,Bard,Sion,Corki,Xin Zhao,Anivia,Leona,Zaahen,Jarvan IV,K'Sante,Gwen,Jayce,Orianna,Varus,Nocturne,Yunara,Sejuani,Caitlyn,0
Kai'Sa,Xin Zhao,Azir,Poppy,K'Sante,Yunara,Jarvan IV,Orianna,Bard,Vayne,Malphite,Jayce,Vi,Rumble,Varus,Nocturne,Gnar,Aphelios,Lulu,Corki,0
Kai'Sa,Vi,Ryze,Neeko,Gnar,Yunara,Jayce,Taliyah,Alistar,Renekton,Rumble,Malphite,Orianna,Azir,Pantheon,Corki,Nautilus,Rakan,Poppy,Sion,0
Corki,Pantheon,Akali,Poppy,Gwen,Kalista,Jarvan IV,Aurora,Renata Glasc,Zaahen,Rumble,Malphite,Orianna,Azir,Ambessa,Varus,Ezreal,Ahri,Lucian,Bard,1
Ezreal,Wukong,Ahri,Neeko,K'Sante,Corki,Vi,Taliyah,Bard,Aurora,Jayce,Malphite,Ambessa,Renekton,Rumble,Pantheon,Nautilus,Yunara,Gnar,Jax,0
Aphelios,Xin Zhao,Yone,Thresh,Aurora,Lucian,Jarvan IV,Syndra,Milio,Sion,Malphite,Azir,Yunara,Orianna,Pantheon,Ambessa,Akali,Gwen,Rek'Sai,Gnar,1
Ezreal,Qiyana,Ahri,Rell,Gnar,Kai'Sa,Pantheon,Galio,Bard,K'Sante,Azir,Malphite,Orianna,Ambessa,Yunara,Nautilus,Sivir,Leona,Sylas,Akali,1
Caitlyn,Nocturne,Syndra,Alistar,Akali,Yunara,Wukong,Galio,Nautilus,Kled,Jayce,Orianna,K'Sante,Jarvan IV,Malphite,Gwen,Azir,Neeko,Sylas,Braum,1
Varus,Jarvan IV,Azir,Leona,Ambessa,Yunara,Xin Zhao,Orianna,Alistar,Sion,Jayce,Malphite,Rumble,Akali,Vi,Poppy,Gwen,Nautilus,Lulu,Gnar,1
